Year,Sector,FDI Amount
2002-03,PHOTOGRAPHIC RAW FILM AND PAPER,0.6
2003-04,PHOTOGRAPHIC RAW FILM AND PAPER,0.24
2004-05,PHOTOGRAPHIC RAW FILM AND PAPER,6.16
2005-06,PHOTOGRAPHIC RAW FILM AND PAPER,0
2006-07,PHOTOGRAPHIC RAW FILM AND PAPER,2.81
2007-08,PHOTOGRAPHIC RAW FILM AND PAPER,54.86
2008-09,PHOTOGRAPHIC RAW FILM AND PAPER,1.05
2009-10,PHOTOGRAPHIC RAW FILM AND PAPER,0
2010-11,PHOTOGRAPHIC RAW FILM AND PAPER,0.81
2011-12,PHOTOGRAPHIC RAW FILM AND PAPER,0
2012-13,PHOTOGRAPHIC RAW FILM AND PAPER,0
2013-14,PHOTOGRAPHIC RAW FILM AND PAPER,0
2014-15,PHOTOGRAPHIC RAW FILM AND PAPER,0.75
2015-16,PHOTOGRAPHIC RAW FILM AND PAPER,0
2016-17,PHOTOGRAPHIC RAW FILM AND PAPER,0
2000-01,DYE-STUFFS,1.05
2001-02,DYE-STUFFS,0.18
2002-03,DYE-STUFFS,0
2003-04,DYE-STUFFS,0.43
2004-05,DYE-STUFFS,1.18
2005-06,DYE-STUFFS,0
2006-07,DYE-STUFFS,0
2007-08,DYE-STUFFS,5.51
2008-09,DYE-STUFFS,1.17
2009-10,DYE-STUFFS,4.02
2010-11,DYE-STUFFS,5.37
2011-12,DYE-STUFFS,0.58
2012-13,DYE-STUFFS,0
2013-14,DYE-STUFFS,0
2014-15,DYE-STUFFS,54.89
2015-16,DYE-STUFFS,3.32
2016-17,DYE-STUFFS,10.7
2000-01,DRUGS & PHARMACEUTICALS,35.94
2001-02,DRUGS & PHARMACEUTICALS,77.94
2002-03,DRUGS & PHARMACEUTICALS,40.07
2003-04,DRUGS & PHARMACEUTICALS,108.91
2004-05,DRUGS & PHARMACEUTICALS,293.36
2005-06,DRUGS & PHARMACEUTICALS,172.44
2006-07,DRUGS & PHARMACEUTICALS,224.2
2007-08,DRUGS & PHARMACEUTICALS,340.35
2008-09,DRUGS & PHARMACEUTICALS,4246.76
2009-10,DRUGS & PHARMACEUTICALS,213.08
2010-11,DRUGS & PHARMACEUTICALS,209.38
2011-12,DRUGS & PHARMACEUTICALS,3232.28
2012-13,DRUGS & PHARMACEUTICALS,1123.46
2013-14,DRUGS & PHARMACEUTICALS,1279.34
2014-15,DRUGS & PHARMACEUTICALS,1497.74
2015-16,DRUGS & PHARMACEUTICALS,754.26
2016-17,DRUGS & PHARMACEUTICALS,857.39
2000-01,"TEXTILES (INCLUDING DYED,PRINTED)",2.06
2001-02,"TEXTILES (INCLUDING DYED,PRINTED)",5.28
2002-03,"TEXTILES (INCLUDING DYED,PRINTED)",54.18
2003-04,"TEXTILES (INCLUDING DYED,PRINTED)",9.34
2004-05,"TEXTILES (INCLUDING DYED,PRINTED)",43.04
2005-06,"TEXTILES (INCLUDING DYED,PRINTED)",94.33
2006-07,"TEXTILES (INCLUDING DYED,PRINTED)",126.9
2007-08,"TEXTILES (INCLUDING DYED,PRINTED)",185.4
2008-09,"TEXTILES (INCLUDING DYED,PRINTED)",157.52
2009-10,"TEXTILES (INCLUDING DYED,PRINTED)",150.27
2010-11,"TEXTILES (INCLUDING DYED,PRINTED)",129.65
2011-12,"TEXTILES (INCLUDING DYED,PRINTED)",164.19
2012-13,"TEXTILES (INCLUDING DYED,PRINTED)",103.89
2013-14,"TEXTILES (INCLUDING DYED,PRINTED)",198.86
2014-15,"TEXTILES (INCLUDING DYED,PRINTED)",197.42
2015-16,"TEXTILES (INCLUDING DYED,PRINTED)",230.13
2016-17,"TEXTILES (INCLUDING DYED,PRINTED)",618.95
2000-01,PAPER AND PULP (INCLUDING PAPER PRODUCTS),60.04
2001-02,PAPER AND PULP (INCLUDING PAPER PRODUCTS),16.7
2002-03,PAPER AND PULP (INCLUDING PAPER PRODUCTS),7.36
2003-04,PAPER AND PULP (INCLUDING PAPER PRODUCTS),7.15
2004-05,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2.7
2005-06,PAPER AND PULP (INCLUDING PAPER PRODUCTS),27.38
2006-07,PAPER AND PULP (INCLUDING PAPER PRODUCTS),5.08
2007-08,PAPER AND PULP (INCLUDING PAPER PRODUCTS),31.24
2008-09,PAPER AND PULP (INCLUDING PAPER PRODUCTS),272.51
2009-10,PAPER AND PULP (INCLUDING PAPER PRODUCTS),16.42
2010-11,PAPER AND PULP (INCLUDING PAPER PRODUCTS),6.53
2011-12,PAPER AND PULP (INCLUDING PAPER PRODUCTS),407.35
2012-13,PAPER AND PULP (INCLUDING PAPER PRODUCTS),5.09
2013-14,PAPER AND PULP (INCLUDING PAPER PRODUCTS),26.86
2014-15,PAPER AND PULP (INCLUDING PAPER PRODUCTS),116.21
2015-16,PAPER AND PULP (INCLUDING PAPER PRODUCTS),85.21
2016-17,PAPER AND PULP (INCLUDING PAPER PRODUCTS),197.61
2000-01,SUGAR,0
2001-02,SUGAR,0
2002-03,SUGAR,3.97
2003-04,SUGAR,0
2004-05,SUGAR,2.94
2005-06,SUGAR,3
2006-07,SUGAR,9.85
2007-08,SUGAR,10.07
2008-09,SUGAR,5.01
2009-10,SUGAR,0.1
2010-11,SUGAR,0.17
2011-12,SUGAR,4.44
2012-13,SUGAR,12.26
2013-14,SUGAR,3.08
2014-15,SUGAR,27.77
2015-16,SUGAR,105.85
2016-17,SUGAR,15.92
2000-01,FERMENTATION INDUSTRIES,16.02
2001-02,FERMENTATION INDUSTRIES,11.04
2002-03,FERMENTATION INDUSTRIES,8.07
2003-04,FERMENTATION INDUSTRIES,1.7
2004-05,FERMENTATION INDUSTRIES,139
2005-06,FERMENTATION INDUSTRIES,169.83
2006-07,FERMENTATION INDUSTRIES,27.58
2007-08,FERMENTATION INDUSTRIES,270.05
2008-09,FERMENTATION INDUSTRIES,144.7
2009-10,FERMENTATION INDUSTRIES,112.02
2010-11,FERMENTATION INDUSTRIES,57.71
2011-12,FERMENTATION INDUSTRIES,69.7
2012-13,FERMENTATION INDUSTRIES,107.21
2013-14,FERMENTATION INDUSTRIES,814.58
2014-15,FERMENTATION INDUSTRIES,225.38
2015-16,FERMENTATION INDUSTRIES,202.36
2016-17,FERMENTATION INDUSTRIES,110.86
2000-01,FOOD PROCESSING INDUSTRIES,45.75
2001-02,FOOD PROCESSING INDUSTRIES,219.39
2002-03,FOOD PROCESSING INDUSTRIES,36.88
2003-04,FOOD PROCESSING INDUSTRIES,109.22
2004-05,FOOD PROCESSING INDUSTRIES,43.98
2005-06,FOOD PROCESSING INDUSTRIES,41.74
2006-07,FOOD PROCESSING INDUSTRIES,102
2007-08,FOOD PROCESSING INDUSTRIES,70.17
2008-09,FOOD PROCESSING INDUSTRIES,102.71
2009-10,FOOD PROCESSING INDUSTRIES,278.89
2010-11,FOOD PROCESSING INDUSTRIES,188.67
2011-12,FOOD PROCESSING INDUSTRIES,170.21
2012-13,FOOD PROCESSING INDUSTRIES,401.46
2013-14,FOOD PROCESSING INDUSTRIES,3982.89
2014-15,FOOD PROCESSING INDUSTRIES,515.86
2015-16,FOOD PROCESSING INDUSTRIES,505.88
2016-17,FOOD PROCESSING INDUSTRIES,727.22
2000-01,VEGETABLE OILS AND VANASPATI,0
2001-02,VEGETABLE OILS AND VANASPATI,0
2002-03,VEGETABLE OILS AND VANASPATI,0
2003-04,VEGETABLE OILS AND VANASPATI,1.69
2004-05,VEGETABLE OILS AND VANASPATI,9.09
2005-06,VEGETABLE OILS AND VANASPATI,12.31
2006-07,VEGETABLE OILS AND VANASPATI,16.22
2007-08,VEGETABLE OILS AND VANASPATI,1.53
2008-09,VEGETABLE OILS AND VANASPATI,42.88
2009-10,VEGETABLE OILS AND VANASPATI,69.74
2010-11,VEGETABLE OILS AND VANASPATI,58.07
2011-12,VEGETABLE OILS AND VANASPATI,65.02
2012-13,VEGETABLE OILS AND VANASPATI,108.39
2013-14,VEGETABLE OILS AND VANASPATI,21.55
2014-15,VEGETABLE OILS AND VANASPATI,148.34
2015-16,VEGETABLE OILS AND VANASPATI,34.22
2016-17,VEGETABLE OILS AND VANASPATI,108.45
2000-01,"SOAPS, COSMETICS & TOILET PREPARATIONS",0
2001-02,"SOAPS, COSMETICS & TOILET PREPARATIONS",0
2002-03,"SOAPS, COSMETICS & TOILET PREPARATIONS",0
2003-04,"SOAPS, COSMETICS & TOILET PREPARATIONS",0
2004-05,"SOAPS, COSMETICS & TOILET PREPARATIONS",0.89
2005-06,"SOAPS, COSMETICS & TOILET PREPARATIONS",87.42
2006-07,"SOAPS, COSMETICS & TOILET PREPARATIONS",6.04
2007-08,"SOAPS, COSMETICS & TOILET PREPARATIONS",6.38
2008-09,"SOAPS, COSMETICS & TOILET PREPARATIONS",22.03
2009-10,"SOAPS, COSMETICS & TOILET PREPARATIONS",24.58
2010-11,"SOAPS, COSMETICS & TOILET PREPARATIONS",102.9
2011-12,"SOAPS, COSMETICS & TOILET PREPARATIONS",222.08
2012-13,"SOAPS, COSMETICS & TOILET PREPARATIONS",160.07
2013-14,"SOAPS, COSMETICS & TOILET PREPARATIONS",108.44
2014-15,"SOAPS, COSMETICS & TOILET PREPARATIONS",177.22
2015-16,"SOAPS, COSMETICS & TOILET PREPARATIONS",193.26
2016-17,"SOAPS, COSMETICS & TOILET PREPARATIONS",92.6
2000-01,RUBBER GOODS,0.1
2001-02,RUBBER GOODS,46.39
2002-03,RUBBER GOODS,16.42
2003-04,RUBBER GOODS,6.37
2004-05,RUBBER GOODS,40.06
2005-06,RUBBER GOODS,34.09
2006-07,RUBBER GOODS,18.75
2007-08,RUBBER GOODS,15.12
2008-09,RUBBER GOODS,84.88
2009-10,RUBBER GOODS,24.12
2010-11,RUBBER GOODS,17.21
2011-12,RUBBER GOODS,187.37
2012-13,RUBBER GOODS,642.18
2013-14,RUBBER GOODS,370.54
2014-15,RUBBER GOODS,284.51
2015-16,RUBBER GOODS,296.15
2016-17,RUBBER GOODS,262.76
2000-01,"LEATHER,LEATHER GOODS AND PICKERS",9.75
2001-02,"LEATHER,LEATHER GOODS AND PICKERS",0.2
2002-03,"LEATHER,LEATHER GOODS AND PICKERS",0.01
2003-04,"LEATHER,LEATHER GOODS AND PICKERS",7.55
2004-05,"LEATHER,LEATHER GOODS AND PICKERS",0.44
2005-06,"LEATHER,LEATHER GOODS AND PICKERS",1.11
2006-07,"LEATHER,LEATHER GOODS AND PICKERS",8.26
2007-08,"LEATHER,LEATHER GOODS AND PICKERS",7.46
2008-09,"LEATHER,LEATHER GOODS AND PICKERS",3.32
2009-10,"LEATHER,LEATHER GOODS AND PICKERS",5.06
2010-11,"LEATHER,LEATHER GOODS AND PICKERS",9.26
2011-12,"LEATHER,LEATHER GOODS AND PICKERS",8.3
2012-13,"LEATHER,LEATHER GOODS AND PICKERS",46.7
2013-14,"LEATHER,LEATHER GOODS AND PICKERS",6.14
2014-15,"LEATHER,LEATHER GOODS AND PICKERS",34.21
2015-16,"LEATHER,LEATHER GOODS AND PICKERS",17.13
2016-17,"LEATHER,LEATHER GOODS AND PICKERS",2.3
2000-01,GLUE AND GELATIN,0
2001-02,GLUE AND GELATIN,0.94
2002-03,GLUE AND GELATIN,5.22
2003-04,GLUE AND GELATIN,0
2004-05,GLUE AND GELATIN,0
2005-06,GLUE AND GELATIN,0
2006-07,GLUE AND GELATIN,0
2007-08,GLUE AND GELATIN,2.28
2008-09,GLUE AND GELATIN,0
2009-10,GLUE AND GELATIN,0.27
2010-11,GLUE AND GELATIN,0.01
2011-12,GLUE AND GELATIN,5.84
2012-13,GLUE AND GELATIN,0
2013-14,GLUE AND GELATIN,0.97
2014-15,GLUE AND GELATIN,21.44
2015-16,GLUE AND GELATIN,0.82
2016-17,GLUE AND GELATIN,90.6
2000-01,GLASS,33.87
2001-02,GLASS,8.37
2002-03,GLASS,44.98
2003-04,GLASS,5.24
2004-05,GLASS,8.36
2005-06,GLASS,0.81
2006-07,GLASS,1.43
2007-08,GLASS,11.04
2008-09,GLASS,23.16
2009-10,GLASS,2.83
2010-11,GLASS,7.6
2011-12,GLASS,32.22
2012-13,GLASS,209.16
2013-14,GLASS,43.09
2014-15,GLASS,41.82
2015-16,GLASS,25.78
2016-17,GLASS,51.69
2000-01,CERAMICS,4.03
2001-02,CERAMICS,0.78
2002-03,CERAMICS,0.21
2003-04,CERAMICS,1.47
2004-05,CERAMICS,26.79
2005-06,CERAMICS,5.67
2006-07,CERAMICS,122.23
2007-08,CERAMICS,115.11
2008-09,CERAMICS,198.43
2009-10,CERAMICS,7.21
2010-11,CERAMICS,12
2011-12,CERAMICS,9.87
2012-13,CERAMICS,4.33
2013-14,CERAMICS,150.09
2014-15,CERAMICS,35.29
2015-16,CERAMICS,51.21
2016-17,CERAMICS,15.4
2000-01,CEMENT AND GYPSUM PRODUCTS,67.72
2001-02,CEMENT AND GYPSUM PRODUCTS,139.9
2002-03,CEMENT AND GYPSUM PRODUCTS,21.08
2003-04,CEMENT AND GYPSUM PRODUCTS,9.58
2004-05,CEMENT AND GYPSUM PRODUCTS,0.16
2005-06,CEMENT AND GYPSUM PRODUCTS,452.08
2006-07,CEMENT AND GYPSUM PRODUCTS,242.47
2007-08,CEMENT AND GYPSUM PRODUCTS,16.89
2008-09,CEMENT AND GYPSUM PRODUCTS,724.8
2009-10,CEMENT AND GYPSUM PRODUCTS,33.8
2010-11,CEMENT AND GYPSUM PRODUCTS,637.68
2011-12,CEMENT AND GYPSUM PRODUCTS,267.9
2012-13,CEMENT AND GYPSUM PRODUCTS,12.38
2013-14,CEMENT AND GYPSUM PRODUCTS,254.01
2014-15,CEMENT AND GYPSUM PRODUCTS,208.99
2015-16,CEMENT AND GYPSUM PRODUCTS,19.69
2016-17,CEMENT AND GYPSUM PRODUCTS,2130.1
2000-01,TIMBER PRODUCTS,0
2001-02,TIMBER PRODUCTS,0.05
2002-03,TIMBER PRODUCTS,0.04
2003-04,TIMBER PRODUCTS,0.11
2004-05,TIMBER PRODUCTS,0.07
2005-06,TIMBER PRODUCTS,0.33
2006-07,TIMBER PRODUCTS,0
2007-08,TIMBER PRODUCTS,0.39
2008-09,TIMBER PRODUCTS,11.27
2009-10,TIMBER PRODUCTS,6.54
2010-11,TIMBER PRODUCTS,1.58
2011-12,TIMBER PRODUCTS,29.6
2012-13,TIMBER PRODUCTS,29.17
2013-14,TIMBER PRODUCTS,6.16
2014-15,TIMBER PRODUCTS,8.97
2015-16,TIMBER PRODUCTS,53.17
2016-17,TIMBER PRODUCTS,10.23
2000-01,DEFENCE INDUSTRIES,0
2001-02,DEFENCE INDUSTRIES,0
2002-03,DEFENCE INDUSTRIES,0
2003-04,DEFENCE INDUSTRIES,0
2004-05,DEFENCE INDUSTRIES,0.05
2005-06,DEFENCE INDUSTRIES,0
2006-07,DEFENCE INDUSTRIES,0
2007-08,DEFENCE INDUSTRIES,0
2008-09,DEFENCE INDUSTRIES,0
2009-10,DEFENCE INDUSTRIES,0
2010-11,DEFENCE INDUSTRIES,0
2011-12,DEFENCE INDUSTRIES,3.66
2012-13,DEFENCE INDUSTRIES,0.41
2013-14,DEFENCE INDUSTRIES,0.82
2014-15,DEFENCE INDUSTRIES,0.08
2015-16,DEFENCE INDUSTRIES,0.1
2016-17,DEFENCE INDUSTRIES,0
2000-01,CONSULTANCY SERVICES,4.25
2001-02,CONSULTANCY SERVICES,66.22
2002-03,CONSULTANCY SERVICES,25.7
2003-04,CONSULTANCY SERVICES,46.2
2004-05,CONSULTANCY SERVICES,252.42
2005-06,CONSULTANCY SERVICES,47.4
2006-07,CONSULTANCY SERVICES,114.68
2007-08,CONSULTANCY SERVICES,233.32
2008-09,CONSULTANCY SERVICES,256.59
2009-10,CONSULTANCY SERVICES,341.31
2010-11,CONSULTANCY SERVICES,274.84
2011-12,CONSULTANCY SERVICES,289.89
2012-13,CONSULTANCY SERVICES,142.32
2013-14,CONSULTANCY SERVICES,285.85
2014-15,CONSULTANCY SERVICES,458.13
2015-16,CONSULTANCY SERVICES,517.47
2016-17,CONSULTANCY SERVICES,261.14
2000-01,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",71.38
2001-02,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",187.95
2002-03,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",296.34
2003-04,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",271.15
2004-05,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",456.15
2005-06,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",548.61
2006-07,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",4713.78
2007-08,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",6986.17
2008-09,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",6183.49
2009-10,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",4174.53
2010-11,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",3296.09
2011-12,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",5215.98
2012-13,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",4832.98
2013-14,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2225.1
2014-15,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",4443.26
2015-16,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",6889.46
2016-17,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",8684.07
2000-01,HOSPITAL & DIAGNOSTIC CENTRES,0
2001-02,HOSPITAL & DIAGNOSTIC CENTRES,6.93
2002-03,HOSPITAL & DIAGNOSTIC CENTRES,29.13
2003-04,HOSPITAL & DIAGNOSTIC CENTRES,24.08
2004-05,HOSPITAL & DIAGNOSTIC CENTRES,26.19
2005-06,HOSPITAL & DIAGNOSTIC CENTRES,32.53
2006-07,HOSPITAL & DIAGNOSTIC CENTRES,38.14
2007-08,HOSPITAL & DIAGNOSTIC CENTRES,241.76
2008-09,HOSPITAL & DIAGNOSTIC CENTRES,239.71
2009-10,HOSPITAL & DIAGNOSTIC CENTRES,135.57
2010-11,HOSPITAL & DIAGNOSTIC CENTRES,256
2011-12,HOSPITAL & DIAGNOSTIC CENTRES,310.43
2012-13,HOSPITAL & DIAGNOSTIC CENTRES,256.86
2013-14,HOSPITAL & DIAGNOSTIC CENTRES,684.58
2014-15,HOSPITAL & DIAGNOSTIC CENTRES,567.85
2015-16,HOSPITAL & DIAGNOSTIC CENTRES,742.35
2016-17,HOSPITAL & DIAGNOSTIC CENTRES,747.38
2000-01,EDUCATION,0
2001-02,EDUCATION,0
2002-03,EDUCATION,0
2003-04,EDUCATION,0.19
2004-05,EDUCATION,1.97
2005-06,EDUCATION,3.16
2006-07,EDUCATION,41.81
2007-08,EDUCATION,43.59
2008-09,EDUCATION,214.52
2009-10,EDUCATION,63.35
2010-11,EDUCATION,37.94
2011-12,EDUCATION,105.62
2012-13,EDUCATION,172.2
2013-14,EDUCATION,262.09
2014-15,EDUCATION,78.86
2015-16,EDUCATION,230.78
2016-17,EDUCATION,160.12
2000-01,HOTEL & TOURISM,13.2
2001-02,HOTEL & TOURISM,32.12
2002-03,HOTEL & TOURISM,33.75
2003-04,HOTEL & TOURISM,49.36
2004-05,HOTEL & TOURISM,37.01
2005-06,HOTEL & TOURISM,71.78
2006-07,HOTEL & TOURISM,195.66
2007-08,HOTEL & TOURISM,421.47
2008-09,HOTEL & TOURISM,463.92
2009-10,HOTEL & TOURISM,753.02
2010-11,HOTEL & TOURISM,308.05
2011-12,HOTEL & TOURISM,992.86
2012-13,HOTEL & TOURISM,3259.05
2013-14,HOTEL & TOURISM,486.38
2014-15,HOTEL & TOURISM,777.01
2015-16,HOTEL & TOURISM,1332.69
2016-17,HOTEL & TOURISM,916.13
2000-01,TRADING,11.49
2001-02,TRADING,43.27
2002-03,TRADING,38.13
2003-04,TRADING,31.12
2004-05,TRADING,14.22
2005-06,TRADING,28.93
2006-07,TRADING,114.65
2007-08,TRADING,345.02
2008-09,TRADING,643.64
2009-10,TRADING,737.95
2010-11,TRADING,498.04
2011-12,TRADING,731.55
2012-13,TRADING,717.8
2013-14,TRADING,1343.39
2014-15,TRADING,2727.96
2015-16,TRADING,3845.32
2016-17,TRADING,2338.4
2000-01,RETAIL TRADING,0
2001-02,RETAIL TRADING,0
2002-03,RETAIL TRADING,0
2003-04,RETAIL TRADING,0
2004-05,RETAIL TRADING,0
2005-06,RETAIL TRADING,0
2006-07,RETAIL TRADING,0
2007-08,RETAIL TRADING,1.27
2008-09,RETAIL TRADING,0.09
2009-10,RETAIL TRADING,13.73
2010-11,RETAIL TRADING,26.27
2011-12,RETAIL TRADING,31.7
2012-13,RETAIL TRADING,22.31
2013-14,RETAIL TRADING,11.3
2014-15,RETAIL TRADING,168.72
2015-16,RETAIL TRADING,262.24
2016-17,RETAIL TRADING,450.94
2000-01,AGRICULTURE SERVICES,17.52
2001-02,AGRICULTURE SERVICES,14.06
2002-03,AGRICULTURE SERVICES,11.01
2003-04,AGRICULTURE SERVICES,0.59
2004-05,AGRICULTURE SERVICES,3.83
2005-06,AGRICULTURE SERVICES,9.08
2006-07,AGRICULTURE SERVICES,12.53
2007-08,AGRICULTURE SERVICES,58.13
2008-09,AGRICULTURE SERVICES,5.35
2009-10,AGRICULTURE SERVICES,1222.22
2010-11,AGRICULTURE SERVICES,43.9
2011-12,AGRICULTURE SERVICES,49.02
2012-13,AGRICULTURE SERVICES,161.47
2013-14,AGRICULTURE SERVICES,91.01
2014-15,AGRICULTURE SERVICES,59.95
2015-16,AGRICULTURE SERVICES,84.65
2016-17,AGRICULTURE SERVICES,76.43
2000-01,"DIAMOND,GOLD ORNAMENTS",18.83
2001-02,"DIAMOND,GOLD ORNAMENTS",0.36
2002-03,"DIAMOND,GOLD ORNAMENTS",1.3
2003-04,"DIAMOND,GOLD ORNAMENTS",1.96
2004-05,"DIAMOND,GOLD ORNAMENTS",8.58
2005-06,"DIAMOND,GOLD ORNAMENTS",15.52
2006-07,"DIAMOND,GOLD ORNAMENTS",61.97
2007-08,"DIAMOND,GOLD ORNAMENTS",59.15
2008-09,"DIAMOND,GOLD ORNAMENTS",83.5
2009-10,"DIAMOND,GOLD ORNAMENTS",31.08
2010-11,"DIAMOND,GOLD ORNAMENTS",19.59
2011-12,"DIAMOND,GOLD ORNAMENTS",36.3
2012-13,"DIAMOND,GOLD ORNAMENTS",52.61
2013-14,"DIAMOND,GOLD ORNAMENTS",42.56
2014-15,"DIAMOND,GOLD ORNAMENTS",280.18
2015-16,"DIAMOND,GOLD ORNAMENTS",58.54
2016-17,"DIAMOND,GOLD ORNAMENTS",123.92
2000-01,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),20.23
2001-02,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),0.14
2002-03,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),0
2003-04,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),0.32
2004-05,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),0.01
2005-06,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),1.43
2006-07,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),6.2
2007-08,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),18.94
2008-09,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),37.08
2009-10,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),8.15
2010-11,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),3.12
2011-12,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),5.32
2012-13,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),0.27
2013-14,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),5.86
2014-15,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),1.43
2015-16,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),1.12
2016-17,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),1.6
2000-01,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),0
2001-02,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),0
2002-03,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),6.3
2003-04,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),0
2004-05,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),0.06
2005-06,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),9.9
2006-07,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),20.04
2007-08,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),35.54
2008-09,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),31.61
2009-10,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),70.51
2010-11,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),36.63
2011-12,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),47.39
2012-13,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),14.34
2013-14,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),113.78
2014-15,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),72.58
2015-16,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),122.81
2016-17,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),53.17
2000-01,COIR,0
2001-02,COIR,0
2002-03,COIR,0
2003-04,COIR,0
2004-05,COIR,0.47
2005-06,COIR,0.59
2006-07,COIR,0.04
2007-08,COIR,0.01
2008-09,COIR,0
2009-10,COIR,0.25
2010-11,COIR,0.1
2011-12,COIR,0.55
2012-13,COIR,0.15
2013-14,COIR,0.54
2014-15,COIR,1.36
2015-16,COIR,0
2016-17,COIR,0
2000-01,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,0
2001-02,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,0
2002-03,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,0
2003-04,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,0
2004-05,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,0
